Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,A M Ariff,ALAPPUZHA,CPI(M),2,Graduate Professional,"Rs 1,52,68,906 ~ 1 Crore+","Rs 22,20,700 ~ 22 Lacs+"
2,A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,"Rs 9,61,97,642 ~ 9 Crore+",Rs 0 ~
3,A. Raja,NILGIRIS,DMK,6,Graduate Professional,"Rs 4,95,91,024 ~ 4 Crore+","Rs 14,24,914 ~ 14 Lacs+"
4,Abdul Khaleque,BARPETA,INC,0,Post Graduate,"Rs 73,98,753 ~ 73 Lacs+","Rs 27,03,693 ~ 27 Lacs+"
5,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Graduate,"Rs 1,37,94,320 ~ 1 Crore+",Rs 0 ~
6,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"Rs 27,09,59,520 ~ 27 Crore+","Rs 7,28,107 ~ 7 Lacs+"
7,Abu Taher Khan,MURSHIDABAD,AITC,3,8th Pass,"Rs 89,26,616 ~ 89 Lacs+","Rs 13,50,000 ~ 13 Lacs+"
8,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"Rs 12,44,722 ~ 12 Lacs+",Rs 0 ~
9,Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,"Rs 2,21,16,63,364 ~ 221 Crore+","Rs 15,22,81,255 ~ 15 Crore+"
10,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,7,10th Pass,"Rs 10,13,15,437 ~ 10 Crore+","Rs 85,06,984 ~ 85 Lacs+"
11,Adoor Prakash,ATTINGAL,INC,7,Graduate Professional,"Rs 14,40,98,612 ~ 14 Crore+","Rs 2,76,22,685 ~ 2 Crore+"
12,Afzal Ansari,GHAZIPUR,BSP,5,Post Graduate,"Rs 13,79,38,756 ~ 13 Crore+",Rs 0 ~
13,Agatha K. Sangma,TURA,NPP,0,Post Graduate,"Rs 2,94,06,813 ~ 2 Crore+",Rs 0 ~
14,Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Graduate Professional,"Rs 1,96,99,529 ~ 1 Crore+",Rs 0 ~
15,Ajay Kumar,KHERI,BJP,1,Graduate Professional,"Rs 4,52,95,455 ~ 4 Crore+",Rs 0 ~
16,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,"Rs 68,01,126 ~ 68 Lacs+","Rs 53,64,747 ~ 53 Lacs+"
17,Ajay Nishad,MUZAFFARPUR,BJP,1,Graduate,"Rs 29,88,67,486 ~ 29 Crore+","Rs 1,57,14,320 ~ 1 Crore+"
18,Ajay Singh Dharmendra Deol (Sunny Deol),GURDASPUR,BJP,0,Others,"Rs 87,19,25,679 ~ 87 Crore+","Rs 53,46,44,785 ~ 53 Crore+"
19,Ajay Tamta,ALMORA,BJP,0,12th Pass,"Rs 99,10,448 ~ 99 Lacs+","Rs 55,845 ~ 55 Thou+"
20,Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,"Rs 37,78,59,166 ~ 37 Crore+","Rs 28,53,000 ~ 28 Lacs+"
21,Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,"Rs 4,56,91,463 ~ 4 Crore+","Rs 30,28,133 ~ 30 Lacs+"
22,Amar Singh,FATEHGARH SAHIB,INC,0,Post Graduate,"Rs 3,28,08,836 ~ 3 Crore+",Rs 0 ~
23,Amit Shah,GANDHINAGAR,BJP,4,12th Pass,"Rs 40,32,75,307 ~ 40 Crore+","Rs 47,69,587 ~ 47 Lacs+"
24,Amol Ramsing Kolhe,SHIRUR,NCP,0,Graduate Professional,"Rs 4,33,51,521 ~ 4 Crore+","Rs 14,88,116 ~ 14 Lacs+"
25,Anantkumar Hegde,UTTARA KANNADA,BJP,4,12th Pass,"Rs 8,47,55,455 ~ 8 Crore+","Rs 4,10,16,655 ~ 4 Crore+"
26,Angadi Suresh,BELGAUM,BJP,0,Graduate Professional,"Rs 36,61,64,525 ~ 36 Crore+","Rs 19,84,79,638 ~ 19 Crore+"
27,Anil Firojiya,UJJAIN,BJP,0,12th Pass,"Rs 2,64,17,937 ~ 2 Crore+","Rs 32,03,766 ~ 32 Lacs+"
28,Annadurai C N,TIRUVANNAMALAI,DMK,0,Graduate,"Rs 13,48,97,466 ~ 13 Crore+","Rs 3,22,43,604 ~ 3 Crore+"
29,Annapurna Devi,KODARMA,BJP,0,Post Graduate,"Rs 9,76,36,939 ~ 9 Crore+","Rs 31,89,066 ~ 31 Lacs+"
30,Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,"Rs 34,49,22,831 ~ 34 Crore+","Rs 19,55,95,693 ~ 19 Crore+"
31,Anto Antony,PATHANAMTHITTA,INC,1,Graduate,"Rs 60,75,876 ~ 60 Lacs+","Rs 77,23,227 ~ 77 Lacs+"
32,Anubhav Mohanty,KENDRAPARA,BJD,0,Graduate,"Rs 2,23,09,172 ~ 2 Crore+","Rs 41,33,506 ~ 41 Lacs+"
33,Anumula Revanth Reddy,MALKAJGIRI,INC,42,Graduate,"Rs 24,53,57,182 ~ 24 Crore+","Rs 2,78,07,304 ~ 2 Crore+"
34,Anupriya Singh Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,"Rs 2,69,00,662 ~ 2 Crore+","Rs 18,05,603 ~ 18 Lacs+"
35,Anurag Sharma,JHANSI,BJP,0,Post Graduate,"Rs 1,24,30,60,113 ~ 124 Crore+","Rs 1,42,12,970 ~ 1 Crore+"
36,Anurag Singh Thakur,HAMIRPUR,BJP,3,Graduate,"Rs 5,67,70,463 ~ 5 Crore+","Rs 10,85,145 ~ 10 Lacs+"
37,Aparajita Sarangi,BHUBANESWAR,BJP,0,Graduate,"Rs 3,16,77,600 ~ 3 Crore+","Rs 43,29,959 ~ 43 Lacs+"
38,Aparupa Poddar (Afrin Ali),ARAMBAG,AITC,1,Post Graduate,"Rs 1,25,27,597 ~ 1 Crore+","Rs 42,44,000 ~ 42 Lacs+"
39,Arjun Munda,KHUNTI,BJP,0,12th Pass,"Rs 9,15,07,865 ~ 9 Crore+","Rs 2,71,06,434 ~ 2 Crore+"
40,Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,"Rs 2,35,24,459 ~ 2 Crore+","Rs 10,60,314 ~ 10 Lacs+"
41,Arjun Singh,BARRACKPUR,BJP,24,10th Pass,"Rs 80,55,691 ~ 80 Lacs+","Rs 11,00,000 ~ 11 Lacs+"
42,Arjunlal Meena,UDAIPUR,BJP,0,Post Graduate,"Rs 4,81,96,946 ~ 4 Crore+","Rs 1,56,02,872 ~ 1 Crore+"
43,Arun Kumar Sagar,SHAHJAHANPUR,BJP,1,12th Pass,"Rs 4,34,48,049 ~ 4 Crore+","Rs 11,79,697 ~ 11 Lacs+"
44,Arun Sao,BILASPUR,BJP,0,Graduate Professional,"Rs 1,35,44,588 ~ 1 Crore+","Rs 50,000 ~ 50 Thou+"
45,Arvind Kumar Sharma,ROHTAK,BJP,0,Post Graduate,"Rs 4,10,79,284 ~ 4 Crore+","Rs 1,67,78,090 ~ 1 Crore+"
46,Arvind Sawant,MUMBAI SOUTH,SHS,1,Graduate,"Rs 2,71,81,577 ~ 2 Crore+",Rs 0 ~
47,Asaduddin Owaisi,HYDERABAD,AIMIM,5,Graduate Professional,"Rs 17,90,44,376 ~ 17 Crore+","Rs 12,05,00,000 ~ 12 Crore+"
48,Ashok Kumar,MISRIKH,BJP,0,Post Graduate,"Rs 4,87,71,207 ~ 4 Crore+","Rs 57,35,470 ~ 57 Lacs+"
49,Ashok Kumar Yadav,MADHUBANI,BJP,1,Doctorate,"Rs 4,66,99,125 ~ 4 Crore+","Rs 78,92,847 ~ 78 Lacs+"
50,Ashok Mahadevrao Nete,GADCHIROLI CHIMUR,BJP,0,12th Pass,"Rs 5,01,36,369 ~ 5 Crore+","Rs 1,56,82,840 ~ 1 Crore+"
51,Ashwini Kumar Choubey,BUXAR,BJP,3,Graduate,"Rs 4,01,83,612 ~ 4 Crore+","Rs 13,50,667 ~ 13 Lacs+"
52,Asit Kumar Mal,BOLPUR,AITC,0,10th Pass,"Rs 13,10,691 ~ 13 Lacs+",Rs 0 ~
53,Atul Kumar Singh,GHOSI,BSP,13,Graduate,"Rs 6,65,36,025 ~ 6 Crore+","Rs 34,54,591 ~ 34 Lacs+"
54,B.B.Patil,ZAHIRABAD,TRS,18,Graduate,"Rs 1,28,78,51,556 ~ 128 Crore+","Rs 1,15,35,000 ~ 1 Crore+"
55,B.N.Bache Gowda,CHIKKBALLAPUR,BJP,0,Graduate Professional,"Rs 1,15,35,01,141 ~ 115 Crore+",Rs 0 ~
56,B.Y.Raghavendra,SHIMOGA,BJP,2,Graduate Professional,"Rs 67,40,93,851 ~ 67 Crore+","Rs 1,41,50,647 ~ 1 Crore+"
57,Baalu.T.R.,SRIPERUMBUDUR,DMK,0,Graduate,"Rs 20,88,06,446 ~ 20 Crore+",Rs 0 ~
58,Badruddin Ajmal,DHUBRI,AIUDF,7,Post Graduate,"Rs 78,80,64,044 ~ 78 Crore+","Rs 1,01,59,381 ~ 1 Crore+"
59,Baidyanath Prasad Mahto,VALMIKI NAGAR,JD(U),4,10th Pass,"Rs 1,79,34,888 ~ 1 Crore+","Rs 29,15,945 ~ 29 Lacs+"
60,Balashowry Vallabhaneni,MACHILIPATNAM,YSRCP,2,Post Graduate,"Rs 99,05,75,840 ~ 99 Crore+","Rs 74,63,10,844 ~ 74 Crore+"
61,Balli Durgaprasad Rao,TIRUPATI,YSRCP,0,Graduate Professional,"Rs 1,74,26,921 ~ 1 Crore+",Rs 0 ~
62,Bandi Sanjay Kumar,KARIMNAGAR,BJP,6,Post Graduate,"Rs 22,70,000 ~ 22 Lacs+","Rs 13,41,800 ~ 13 Lacs+"
63,Bandyopadhyay Sudip,KOLKATA UTTAR,AITC,2,Graduate,"Rs 6,11,76,355 ~ 6 Crore+",Rs 0 ~
64,Bapu Rao Soyam,ADILABAD,BJP,52,12th Pass,"Rs 30,99,414 ~ 30 Lacs+","Rs 2,31,450 ~ 2 Lacs+"
65,Basanta Kumar Panda,KALAHANDI,BJP,3,12th Pass,"Rs 95,47,000 ~ 95 Lacs+",Rs 0 ~
66,Bellana Chandra Sekhar,VIZIANAGARAM,YSRCP,4,Graduate Professional,"Rs 2,10,35,766 ~ 2 Crore+","Rs 1,11,30,148 ~ 1 Crore+"
67,Benny Behanan,CHALAKUDY,INC,4,Graduate,"Rs 2,04,61,931 ~ 2 Crore+","Rs 9,15,938 ~ 9 Lacs+"
68,Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,"Rs 8,51,01,774 ~ 8 Crore+","Rs 83,19,942 ~ 83 Lacs+"
69,Bhagwant Mann,SANGRUR,AAP,0,12th Pass,"Rs 1,64,27,274 ~ 1 Crore+",Rs 0 ~
70,Bhagwanth Khuba,BIDAR,BJP,1,Graduate Professional,"Rs 5,18,36,416 ~ 5 Crore+","Rs 1,02,39,000 ~ 1 Crore+"
71,Bhanu Pratap Singh,JALAUN,BJP,1,Post Graduate,"Rs 1,06,99,516 ~ 1 Crore+","Rs 12,265 ~ 12 Thou+"
72,Bharti Pawar,DINDORI,BJP,0,Graduate Professional,"Rs 12,28,85,349 ~ 12 Crore+","Rs 14,49,572 ~ 14 Lacs+"
73,Bhartruhari Mahtab,CUTTACK,BJD,0,Post Graduate,"Rs 10,68,94,976 ~ 10 Crore+",Rs 0 ~
74,Bhavana Pundlikrao Gawali,YAVATMAL WASHIM,SHS,3,Graduate,"Rs 9,68,73,189 ~ 9 Crore+","Rs 73,96,250 ~ 73 Lacs+"
75,Bhola Singh,BULANDSHAHR,BJP,1,Graduate,"Rs 1,87,28,861 ~ 1 Crore+",Rs 0 ~
76,Bholanath (B.P. Saroj),MACHHLISHAHR,BJP,0,Graduate,"Rs 25,90,27,394 ~ 25 Crore+","Rs 1,11,94,163 ~ 1 Crore+"
77,Bhonsle Shrimant Chhatrapati Udayanraje Pratapasinh Maharaj,SATARA,NCP,8,12th Pass,"Rs 1,99,68,13,173 ~ 199 Crore+","Rs 1,23,40,338 ~ 1 Crore+"
78,Bidyut Baran Mahato,JAMSHEDPUR,BJP,3,12th Pass,"Rs 2,77,50,671 ~ 2 Crore+","Rs 29,61,830 ~ 29 Lacs+"
79,Bishweswar Tudu,MAYURBHANJ,BJP,1,10th Pass,"Rs 27,42,000 ~ 27 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
80,Brij Bhushan Sharan Singh,KAISERGANJ,BJP,4,Graduate Professional,"Rs 9,89,05,402 ~ 9 Crore+","Rs 6,15,24,736 ~ 6 Crore+"
81,Brijendra Singh,HISAR,BJP,0,Post Graduate,"Rs 14,64,08,734 ~ 14 Crore+","Rs 2,72,25,637 ~ 2 Crore+"
82,C Lalrosanga,MIZORAM,MNF,0,Graduate,"Rs 13,12,01,374 ~ 13 Crore+",Rs 0 ~
83,Chandan Singh,NAWADA,LJP,2,Graduate,"Rs 17,67,20,167 ~ 17 Crore+","Rs 47,22,200 ~ 47 Lacs+"
84,Chandeshwar Prasad,JAHANABAD,JD(U),3,10th Pass,"Rs 13,92,71,693 ~ 13 Crore+",Rs 0 ~
85,Chandra Prakash,CHITTORGARH,BJP,0,Graduate,"Rs 1,97,25,115 ~ 1 Crore+","Rs 1,00,000 ~ 1 Lacs+"
86,Chandra Prakash Choudhary,GIRIDIH,AJSU Party,2,Graduate,"Rs 1,34,56,889 ~ 1 Crore+","Rs 13,30,000 ~ 13 Lacs+"
87,Chandra Sekhar Sahu,BERHAMPUR,BJD,0,10th Pass,"Rs 1,17,16,989 ~ 1 Crore+",Rs 0 ~
88,Chandrani Murmu,KEONJHAR,BJD,0,Graduate Professional,"Rs 3,40,580 ~ 3 Lacs+",Rs 0 ~
89,Chauhan Devusinh,KHEDA,BJP,0,Others,"Rs 1,30,23,202 ~ 1 Crore+","Rs 9,95,240 ~ 9 Lacs+"
90,Chavda Vinod Lakhamshi,KACHCHH,BJP,0,Post Graduate,"Rs 3,35,08,455 ~ 3 Crore+","Rs 1,24,58,607 ~ 1 Crore+"
91,Chhatar Singh Darbar,DHAR,BJP,1,Post Graduate,"Rs 2,31,98,238 ~ 2 Crore+","Rs 24,71,613 ~ 24 Lacs+"
92,Chhedi Paswan,SASARAM,BJP,4,Post Graduate,"Rs 3,77,86,578 ~ 3 Crore+","Rs 22,14,842 ~ 22 Lacs+"
93,Chikhalikar Pratap Govindrao,NANDED,BJP,0,12th Pass,"Rs 5,21,78,606 ~ 5 Crore+","Rs 5,94,000 ~ 5 Lacs+"
94,Chinraj A.K.P,NAMAKKAL,DMK,0,Graduate,"Rs 48,52,05,173 ~ 48 Crore+","Rs 1,86,42,484 ~ 1 Crore+"
95,Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,"Rs 8,59,93,362 ~ 8 Crore+","Rs 24,31,407 ~ 24 Lacs+"
96,Chirag Kumar Paswan,JAMUI,LJP,1,Graduate Professional,"Rs 1,84,66,066 ~ 1 Crore+",Rs 0 ~
97,Choudhary Mahbub Ali Kaisar,KHAGARIA,LJP,1,Graduate,"Rs 10,97,88,313 ~ 10 Crore+",Rs 0 ~
98,Choudhury Mohan Jatua,MATHURAPUR,AITC,0,Post Graduate,"Rs 1,06,67,304 ~ 1 Crore+",Rs 0 ~
99,Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"Rs 1,08,66,041 ~ 1 Crore+","Rs 14,81,768 ~ 14 Lacs+"
100,Chunni Lal Sahu,MAHASAMUND,BJP,0,Graduate,"Rs 1,75,91,683 ~ 1 Crore+","Rs 13,83,014 ~ 13 Lacs+"
101,Col. Rajyavardhan Rathore,JAIPUR RURAL,BJP,0,Graduate,"Rs 12,78,08,070 ~ 12 Crore+",Rs 0 ~
102,Cosme Francisco Caitano Sardinha,SOUTH GOA,INC,0,Graduate Professional,"Rs 7,94,02,232 ~ 7 Crore+",Rs 0 ~
103,D.K. Suresh,BANGALORE RURAL,INC,5,12th Pass,"Rs 3,38,89,20,717 ~ 338 Crore+","Rs 51,93,20,305 ~ 51 Crore+"
104,D.M. Kathir Anand,VELLORE,DMK,2,Post Graduate,"Rs 58,75,79,451 ~ 58 Crore+","Rs 33,07,588 ~ 33 Lacs+"
105,D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,"Rs 20,93,84,539 ~ 20 Crore+","Rs 10,43,02,653 ~ 10 Crore+"
106,Dabhi Bharatsinhji Shankarji,PATAN,BJP,0,Graduate,"Rs 4,73,73,221 ~ 4 Crore+","Rs 56,13,860 ~ 56 Lacs+"
107,Danve Raosaheb Dadarao,JALNA,BJP,2,Graduate,"Rs 22,95,57,992 ~ 22 Crore+","Rs 24,00,000 ~ 24 Lacs+"
108,Dayakar Pasnori,WARANGAL,TRS,0,Graduate,"Rs 2,48,89,712 ~ 2 Crore+","Rs 14,28,227 ~ 14 Lacs+"
109,Dayanidhi Maran,CHENNAI CENTRAL,DMK,1,Graduate,"Rs 11,67,90,616 ~ 11 Crore+",Rs 0 ~
110,Dean Kuriakose,IDUKKI,INC,204,Post Graduate,"Rs 1,33,95,011 ~ 1 Crore+","Rs 1,00,00,000 ~ 1 Crore+"
111,Debasree Chaudhuri,RAIGANJ,BJP,2,Post Graduate,"Rs 61,39,123 ~ 61 Lacs+","Rs 8,23,416 ~ 8 Lacs+"
112,Deepak Adhikari,GHATAL,AITC,0,Others,"Rs 31,73,20,579 ~ 31 Crore+","Rs 78,79,681 ~ 78 Lacs+"
113,Deepak Kumar Baij,BASTAR,INC,1,Post Graduate,"Rs 77,21,293 ~ 77 Lacs+","Rs 18,01,236 ~ 18 Lacs+"
114,Delkar Mohanbhai Sanjibhai,DADRA AND NAGAR HAVELI,IND,0,Graduate,"Rs 70,88,85,980 ~ 70 Crore+","Rs 3,72,68,162 ~ 3 Crore+"
115,Devaji Patel,JALORE,BJP,0,10th Pass,"Rs 8,83,32,292 ~ 8 Crore+","Rs 6,09,36,530 ~ 6 Crore+"
116,Dhairyashil Sambhajirao Mane,HATKANANGLE,SHS,0,Graduate,"Rs 4,77,71,462 ~ 4 Crore+","Rs 4,15,99,959 ~ 4 Crore+"
117,Dhanorkar Suresh Narayan,CHANDRAPUR,INC,5,12th Pass,"Rs 13,74,55,342 ~ 13 Crore+","Rs 2,27,52,880 ~ 2 Crore+"
118,Dhanush M Kumar,TENKASI,DMK,1,Post Graduate,"Rs 5,13,60,700 ~ 5 Crore+","Rs 28,96,862 ~ 28 Lacs+"
119,Dharambir Singh,BHIWANI MAHENDRAGARH,BJP,0,Graduate,"Rs 6,06,42,205 ~ 6 Crore+","Rs 2,40,000 ~ 2 Lacs+"
120,Dharmapuri Arvind,NIZAMABAD,BJP,1,Post Graduate,"Rs 87,69,30,468 ~ 87 Crore+","Rs 33,75,80,746 ~ 33 Crore+"
121,Dharmendra Kumar,AONLA,BJP,0,10th Pass,"Rs 2,17,66,502 ~ 2 Crore+","Rs 33,24,300 ~ 33 Lacs+"
122,Dibyendu Adhikari,TAMLUK,AITC,1,Graduate,"Rs 3,76,87,867 ~ 3 Crore+","Rs 83,97,501 ~ 83 Lacs+"
123,Dileshwar Kamait,SUPAUL,JD(U),2,Graduate,"Rs 2,34,41,606 ~ 2 Crore+",Rs 0 ~
124,Dilip Kumar Ghosh,MEDINIPUR,BJP,14,10th Pass,"Rs 45,36,462 ~ 45 Lacs+",Rs 0 ~
125,Dimple Yadav,MAINPURI : BYE ELECTION ON 05-12-2022,SP,0,Graduate,"Rs 39,91,50,143 ~ 39 Crore+","Rs 31,53,000 ~ 31 Lacs+"
126,Dinesh Chandra Yadav,MADHEPURA,JD(U),1,Graduate Professional,"Rs 3,74,20,953 ~ 3 Crore+","Rs 7,00,000 ~ 7 Lacs+"
127,Diya Kumari,RAJSAMAND,BJP,0,Others,"Rs 16,59,84,623 ~ 16 Crore+",Rs 0 ~
128,Dnv Senthilkumar.S,DHARMAPURI,DMK,1,Post Graduate,"Rs 4,84,77,451 ~ 4 Crore+","Rs 60,53,502 ~ 60 Lacs+"
129,Dr Rajkumar Ranjan Singh,INNER MANIPUR,BJP,0,Doctorate,"Rs 1,96,16,174 ~ 1 Crore+",Rs 0 ~
130,Dr Ram Shankar Katheria,ETAWAH,BJP,12,Doctorate,"Rs 1,51,54,538 ~ 1 Crore+","Rs 73,04,616 ~ 73 Lacs+"
131,Dr Sanjeev Kumar,KURNOOL,YSRCP,0,Post Graduate,"Rs 32,59,14,387 ~ 32 Crore+","Rs 6,20,70,621 ~ 6 Crore+"
132,Dr. Alok Kumar Suman,GOPALGANJ,JD(U),0,Post Graduate,"Rs 3,27,39,903 ~ 3 Crore+","Rs 35,76,376 ~ 35 Lacs+"
133,Dr. Chandra Sen Jadon,FIROZABAD,BJP,0,Graduate Professional,"Rs 4,28,72,395 ~ 4 Crore+",Rs 0 ~
134,Dr. Dhal Singh Bisen,BALAGHAT,BJP,0,Others,"Rs 8,86,48,133 ~ 8 Crore+","Rs 15,30,693 ~ 15 Lacs+"
135,Dr. Jitendra Singh,UDHAMPUR,BJP,0,Post Graduate,"Rs 7,08,27,203 ~ 7 Crore+",Rs 0 ~
136,Dr. Kakoli Ghoshdastidar,BARASAT,AITC,2,Post Graduate,"Rs 4,05,31,018 ~ 4 Crore+","Rs 14,96,059 ~ 14 Lacs+"
137,Dr. Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,"Rs 40,52,94,714 ~ 40 Crore+","Rs 25,83,86,550 ~ 25 Crore+"
138,Dr. Mahendra Nath Pandey,CHANDAULI,BJP,0,Doctorate,"Rs 3,33,59,734 ~ 3 Crore+",Rs 0 ~
139,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,"Rs 47,87,59,568 ~ 47 Crore+","Rs 4,38,63,749 ~ 4 Crore+"
140,Dr. Mohammad Jawed,KISHANGANJ,INC,1,Graduate Professional,"Rs 9,09,73,803 ~ 9 Crore+","Rs 53,83,958 ~ 53 Lacs+"
141,Dr. S T Hasan,MORADABAD,SP,0,Post Graduate,"Rs 5,57,95,546 ~ 5 Crore+","Rs 5,00,000 ~ 5 Lacs+"
142,Dr. Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP,5,Post Graduate,"Rs 19,94,04,885 ~ 19 Crore+","Rs 6,73,70,030 ~ 6 Crore+"
143,Dr. Satyapal Singh,BAGHPAT,BJP,1,Post Graduate,"Rs 7,81,95,793 ~ 7 Crore+",Rs 0 ~
144,Dr. Shafiqur Rehman Barq,SAMBHAL,SP,0,Graduate,"Rs 1,32,96,671 ~ 1 Crore+",Rs 0 ~
145,Dr. Shrikant Eknath Shinde,KALYAN,SHS,1,Post Graduate,"Rs 1,96,16,515 ~ 1 Crore+","Rs 12,41,233 ~ 12 Lacs+"
146,Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,"Rs 8,94,74,039 ~ 8 Crore+",Rs 0 ~
147,Dr. Umesh G Jadhav,GULBARGA,BJP,0,Post Graduate,"Rs 3,74,90,597 ~ 3 Crore+",Rs 0 ~
148,Dr.A.Chellakumar,KRISHNAGIRI,INC,5,Post Graduate,"Rs 12,10,87,979 ~ 12 Crore+","Rs 6,68,17,959 ~ 6 Crore+"
149,Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,0,Graduate Professional,"Rs 9,15,26,244 ~ 9 Crore+","Rs 1,11,39,279 ~ 1 Crore+"
150,Dr.Bharatiben Dhirubhai Shiyal,BHAVNAGAR,BJP,0,Graduate Professional,"Rs 1,77,53,161 ~ 1 Crore+","Rs 36,89,036 ~ 36 Lacs+"
151,Dr.Gaddam Ranjith Reddy,CHEVELLA,TRS,0,Post Graduate,"Rs 1,63,46,95,131 ~ 163 Crore+","Rs 19,70,07,553 ~ 19 Crore+"
152,Dr.K.C.Patel,VALSAD,BJP,0,Graduate Professional,"Rs 6,82,39,480 ~ 6 Crore+",Rs 0 ~
153,Dr.K.Jayakumar,TIRUVALLUR,INC,0,Doctorate,"Rs 2,45,83,769 ~ 2 Crore+",Rs 0 ~
154,Dulal Chandra Goswami,KATIHAR,JD(U),1,Graduate,"Rs 1,33,02,734 ~ 1 Crore+","Rs 31,30,766 ~ 31 Lacs+"
155,Durga Das (D.D.) Uikey,BETUL,BJP,0,Post Graduate,"Rs 1,54,13,532 ~ 1 Crore+","Rs 8,75,803 ~ 8 Lacs+"
156,Dushyant,JHALAWAR BARAN,BJP,0,Post Graduate,"Rs 37,04,32,373 ~ 37 Crore+","Rs 8,58,24,156 ~ 8 Crore+"
157,E T Mohammed Basheer,PONNANI,IUML,0,10th Pass,"Rs 81,03,274 ~ 81 Lacs+",Rs 0 ~
158,Faggan Singh Kulaste,MANDLA,BJP,0,Post Graduate,"Rs 2,67,02,373 ~ 2 Crore+","Rs 10,00,075 ~ 10 Lacs+"
159,Farooq Abdullah,SRINAGAR,Jammu & Kashmir National Conference,1,Graduate Professional,"Rs 12,19,04,435 ~ 12 Crore+",Rs 0 ~
160,Feroze Varun Gandhi,PILIBHIT,BJP,0,Post Graduate,"Rs 60,32,00,539 ~ 60 Crore+","Rs 2,89,52,800 ~ 2 Crore+"
161,G M Siddeshwar,DAVANAGERE,BJP,0,10th Pass,"Rs 38,01,64,932 ~ 38 Crore+","Rs 1,46,70,809 ~ 1 Crore+"
162,G S Basavaraj,TUMKUR,BJP,0,Graduate Professional,"Rs 51,07,79,150 ~ 51 Crore+","Rs 11,38,44,867 ~ 11 Crore+"
163,Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,0,Graduate Professional,"Rs 4,39,80,663 ~ 4 Crore+","Rs 79,87,991 ~ 79 Lacs+"
164,Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,SHS,0,Graduate,"Rs 10,53,92,000 ~ 10 Crore+","Rs 40,32,000 ~ 40 Lacs+"
165,Gajendra Singh Shekhawat,JODHPUR,BJP,1,Post Graduate,"Rs 13,80,29,511 ~ 13 Crore+","Rs 5,85,73,744 ~ 5 Crore+"
166,Gajendra Umrao Singh Patel,KHARGONE,BJP,0,Graduate Professional,"Rs 6,73,03,990 ~ 6 Crore+","Rs 18,85,020 ~ 18 Lacs+"
167,Ganesh Singh,SATNA,BJP,2,Post Graduate,"Rs 4,17,19,076 ~ 4 Crore+",Rs 0 ~
168,Ganeshamurthi A,ERODE,DMK,0,Graduate,"Rs 4,31,10,000 ~ 4 Crore+","Rs 20,60,000 ~ 20 Lacs+"
169,Gangapuram Kishan Reddy,SECUNDERABAD,BJP,0,Others,"Rs 8,14,30,778 ~ 8 Crore+","Rs 45,00,000 ~ 45 Lacs+"
170,Gaurav Gogoi,KALIABOR,INC,0,Post Graduate,"Rs 1,37,27,834 ~ 1 Crore+","Rs 12,50,000 ~ 12 Lacs+"
171,Gautam Gambhir,EAST DELHI,BJP,1,12th Pass,"Rs 1,47,15,87,789 ~ 147 Crore+","Rs 34,20,35,860 ~ 34 Crore+"
172,Gautham Sigamani Pon,KALLAKURICHI,DMK,1,Post Graduate,"Rs 47,11,86,830 ~ 47 Crore+","Rs 8,11,31,909 ~ 8 Crore+"
173,Gavit Rajendra Dhedya,PALGHAR,SHS,0,Graduate,"Rs 8,76,16,920 ~ 8 Crore+","Rs 3,02,23,375 ~ 3 Crore+"
174,Geeta Kora,SINGHBHUM,INC,1,Post Graduate,"Rs 2,52,49,018 ~ 2 Crore+","Rs 19,28,508 ~ 19 Lacs+"
175,Giridhari Yadav,BANKA,JD(U),1,Post Graduate,"Rs 1,98,16,050 ~ 1 Crore+","Rs 4,05,701 ~ 4 Lacs+"
